,db_path,generated_sql,gold_sql,question,isCorrect
0,spider_data/database/department_management/department_management.sqlite,SELECT COUNT(*) FROM management AS T1 JOIN head AS T2 ON T1.head_ID = T2.head_ID WHERE T2.age > 56,SELECT count(*) FROM head WHERE age  >  56,How many heads of the departments are older than 56 ?,False
1,spider_data/database/department_management/department_management.sqlite,"SELECT h.name, h.born_state, h.age  FROM head h  JOIN management m ON h.head_ID = m.head_ID  ORDER BY h.age;","SELECT name ,  born_state ,  age FROM head ORDER BY age","List the name, born state and age of the heads of departments ordered by age.",False
2,spider_data/database/department_management/department_management.sqlite,"SELECT Creation, Name, Budget_in_Billions  FROM department","SELECT creation ,  name ,  budget_in_billions FROM department","List the creation year, name and budget of each department.",True
3,spider_data/database/department_management/department_management.sqlite,"SELECT MAX(Budget_in_Billions) AS Max_Budget, MIN(Budget_in_Billions) AS Min_Budget FROM department; ```
Execution failed on sql 'SELECT MAX(Budget_in_Billions) AS Max_Budget, MIN(Budget_in_Billions) AS Min_Budget FROM department; ```': You can only execute one statement at a time.","SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department",What are the maximum and minimum budget of the departments?,False
4,spider_data/database/department_management/department_management.sqlite,SELECT AVG(Num_Employees) AS Average_Num_Employees FROM department WHERE Ranking BETWEEN 10 AND 15;,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,What is the average number of employees of the departments whose rank is between 10 and 15?,True
5,spider_data/database/department_management/department_management.sqlite,SELECT name FROM head WHERE born_state != 'California',SELECT name FROM head WHERE born_state != 'California',What are the names of the heads who are born outside the California state?,True
6,spider_data/database/department_management/department_management.sqlite,SELECT DISTINCT department.Creation  FROM management  JOIN department ON management.department_ID = department.Department_ID  JOIN head ON management.head_ID = head.head_ID  WHERE head.born_state = 'Alabama',SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,True
7,spider_data/database/department_management/department_management.sqlite,"SELECT department.Name FROM department JOIN management ON department.Department_ID = management.department_ID JOIN head ON management.head_ID = head.head_ID GROUP BY department.Name HAVING COUNT(head.head_id) >= 3; ```
Execution failed on sql 'SELECT department.Name FROM department JOIN management ON department.Department_ID = management.department_ID JOIN head ON management.head_ID = head.head_ID GROUP BY department.Name HAVING COUNT(head.head_id) >= 3; ```': You can only execute one statement at a time.",SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,What are the names of the states where at least 3 heads were born?,False
8,spider_data/database/department_management/department_management.sqlite,"SELECT YEAR(Creation) as Year, COUNT(*) as Department_Count FROM department GROUP BY YEAR(Creation) ORDER BY Department_Count DESC LIMIT 1;
Execution failed on sql 'SELECT YEAR(Creation) as Year, COUNT(*) as Department_Count FROM department GROUP BY YEAR(Creation) ORDER BY Department_Count DESC LIMIT 1;': no such function: YEAR",SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,In which year were most departments established?,False
9,spider_data/database/department_management/department_management.sqlite,"SELECT d.Name, COUNT(m.department_ID) AS Num_Employees FROM department d JOIN management m ON d.Department_ID = m.department_ID JOIN head h ON m.head_ID = h.head_ID WHERE h.temporary_acting = 'Yes' GROUP BY d.Name; ```
Execution failed on sql 'SELECT d.Name, COUNT(m.department_ID) AS Num_Employees FROM department d JOIN management m ON d.Department_ID = m.department_ID JOIN head h ON m.head_ID = h.head_ID WHERE h.temporary_acting = 'Yes' GROUP BY d.Name; ```': no such column: h.temporary_acting","SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'",Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,False
10,spider_data/database/department_management/department_management.sqlite,SELECT COUNT(DISTINCT temporary_acting) FROM management;,SELECT count(DISTINCT temporary_acting) FROM management,How many acting statuses are there?,True
11,spider_data/database/department_management/department_management.sqlite,SELECT COUNT(department_id) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,How many departments are led by heads who are not mentioned?,True
12,spider_data/database/department_management/department_management.sqlite,SELECT DISTINCT age FROM head WHERE head_id IN (SELECT head_ID FROM management WHERE temporary_acting = 'Yes');,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',What are the distinct ages of the heads who are acting?,False
13,spider_data/database/department_management/department_management.sqlite,"SELECT T1.born_state  FROM head AS T1  JOIN management AS T2 ON T1.head_ID = T2.head_ID  WHERE T2.department_ID IN (SELECT Department_ID FROM department WHERE Name IN ('Treasury', 'Homeland Security'))  GROUP BY T1.born_state  HAVING COUNT(DISTINCT T2.department_ID) = 2",SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,True
14,spider_data/database/department_management/department_management.sqlite,"SELECT      d.Department_ID,      d.Name,      COUNT(m.head_ID) AS Num_Heads FROM      department d JOIN      management m ON d.Department_ID = m.department_ID WHERE      m.temporary_acting = 'Yes' GROUP BY      d.Department_ID,      d.Name HAVING      COUNT(m.head_ID) > 1; ```
Execution failed on sql 'SELECT      d.Department_ID,      d.Name,      COUNT(m.head_ID) AS Num_Heads FROM      department d JOIN      management m ON d.Department_ID = m.department_ID WHERE      m.temporary_acting = 'Yes' GROUP BY      d.Department_ID,      d.Name HAVING      COUNT(m.head_ID) > 1; ```': You can only execute one statement at a time.","SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","Which department has more than 1 head at a time? List the id, name and the number of heads.",False
15,spider_data/database/department_management/department_management.sqlite,"SELECT h.head_id, h.name FROM head h WHERE h.name LIKE '%Ha%'; ```
Execution failed on sql 'SELECT h.head_id, h.name FROM head h WHERE h.name LIKE '%Ha%'; ```': You can only execute one statement at a time.","SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%'",Which head's name has the substring 'Ha'? List the id and name.,False
16,spider_data/database/farm/farm.sqlite,SELECT COUNT(Farm_ID) FROM farm;,SELECT count(*) FROM farm,How many farms are there?,True
17,spider_data/database/farm/farm.sqlite,SELECT COUNT(*) FROM farm,SELECT count(*) FROM farm,Count the number of farms.,True
18,spider_data/database/farm/farm.sqlite,SELECT SUM(Total_Horses) AS Total_Number_of_Horses FROM farm ORDER BY Total_Number_of_Horses ASC;,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,List the total number of horses on farms in ascending order.,False
19,spider_data/database/farm/farm.sqlite,"SELECT city.Official_Name, SUM(farm.Total_Horses) as Total_Horses FROM city JOIN farm ON city.City_ID = farm.Host_city_ID GROUP BY city.Official_Name ORDER BY Total_Horses ASC;
Execution failed on sql 'SELECT city.Official_Name, SUM(farm.Total_Horses) as Total_Horses FROM city JOIN farm ON city.City_ID = farm.Host_city_ID GROUP BY city.Official_Name ORDER BY Total_Horses ASC;': no such column: farm.Host_city_ID",SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,"What is the total horses record for each farm, sorted ascending?",False
20,spider_data/database/farm/farm.sqlite,SELECT Hosts FROM farm_competition WHERE Theme != 'Aliens',SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',"What are the hosts of competitions whose theme is not ""Aliens""?",True
21,spider_data/database/farm/farm.sqlite,SELECT Hosts FROM farm_competition WHERE Theme != 'Aliens',SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',Return the hosts of competitions for which the theme is not Aliens?,True
22,spider_data/database/farm/farm.sqlite,SELECT Theme FROM farm_competition ORDER BY Year ASC;,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,What are the themes of farm competitions sorted by year in ascending order?,True
23,spider_data/database/farm/farm.sqlite,SELECT Theme FROM farm_competition ORDER BY Year ASC;,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,"Return the themes of farm competitions, sorted by year ascending.",True
24,spider_data/database/farm/farm.sqlite,SELECT AVG(Working_Horses) AS Avg_Working_Horses FROM farm WHERE Total_Horses > 5000;,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,What is the average number of working horses of farms with more than 5000 total number of horses?,True
25,spider_data/database/farm/farm.sqlite,SELECT AVG(Working_Horses) AS Average_Working_Horses FROM farm WHERE Total_Horses > 5000,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,Give the average number of working horses on farms with more than 5000 total horses.,True
26,spider_data/database/farm/farm.sqlite,"SELECT MAX(Cows) AS Max_Cows, MIN(Cows) AS Min_Cows FROM farm","SELECT max(Cows) ,  min(Cows) FROM farm",What are the maximum and minimum number of cows across all farms.,True
27,spider_data/database/farm/farm.sqlite,"SELECT MIN(Cows) AS Min_Cows, MAX(Cows) AS Max_Cows FROM farm;","SELECT max(Cows) ,  min(Cows) FROM farm",Return the maximum and minimum number of cows across all farms.,True
28,spider_data/database/farm/farm.sqlite,SELECT COUNT(DISTINCT Status) FROM city,SELECT count(DISTINCT Status) FROM city,How many different statuses do cities have?,True
29,spider_data/database/farm/farm.sqlite,SELECT COUNT(DISTINCT Status) FROM city,SELECT count(DISTINCT Status) FROM city,Count the number of different statuses.,True
30,spider_data/database/farm/farm.sqlite,SELECT Official_Name FROM city ORDER BY Population DESC,SELECT Official_Name FROM city ORDER BY Population DESC,List official names of cities in descending order of population.,True
31,spider_data/database/farm/farm.sqlite,SELECT Official_Name FROM city ORDER BY Population DESC;,SELECT Official_Name FROM city ORDER BY Population DESC,"What are the official names of cities, ordered descending by population?",True
32,spider_data/database/farm/farm.sqlite,"SELECT Official_Name, Status FROM city ORDER BY Population DESC LIMIT 1","SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",List the official name and status of the city with the largest population.,True
33,spider_data/database/farm/farm.sqlite,"Grand Falls/Grand-Sault Town
Execution failed on sql 'Grand Falls/Grand-Sault Town': near ""Grand"": syntax error","SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",What is the official name and status of the city with the most residents?,False
34,spider_data/database/farm/farm.sqlite,"SELECT fc.Year, c.Official_Name FROM farm_competition AS fc JOIN city AS c ON fc.Host_city_ID = c.City_ID;","SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",Show the years and the official names of the host cities of competitions.,True
35,spider_data/database/farm/farm.sqlite,"SELECT      fc.Year,     c.Official_Name FROM      farm_competition fc JOIN      city c ON fc.Host_city_ID = c.City_ID;","SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",Give the years and official names of the cities of each competition.,True
36,spider_data/database/farm/farm.sqlite,"SELECT c.Official_Name FROM city c JOIN farm_competition fc ON c.City_ID = fc.Host_city_ID GROUP BY c.City_ID, c.Official_Name HAVING COUNT(fc.Competition_ID) > 1;",SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,Show the official names of the cities that have hosted more than one competition.,True
37,spider_data/database/farm/farm.sqlite,SELECT Official_Name FROM city WHERE City_ID IN (SELECT Host_city_ID FROM farm_competition GROUP BY Host_city_ID HAVING COUNT(*) > 1),SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,What are the official names of cities that have hosted more than one competition?,True
38,spider_data/database/farm/farm.sqlite,"<sql> SELECT c.Status FROM city c JOIN farm_competition fc ON c.City_ID = fc.Host_city_ID GROUP BY c.Status ORDER BY COUNT(*) DESC LIMIT 1; </sql>
Execution failed on sql '<sql> SELECT c.Status FROM city c JOIN farm_competition fc ON c.City_ID = fc.Host_city_ID GROUP BY c.Status ORDER BY COUNT(*) DESC LIMIT 1; </sql>': near ""<"": syntax error",SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,Show the status of the city that has hosted the greatest number of competitions.,False
39,spider_data/database/farm/farm.sqlite,SELECT T.Status FROM city AS T JOIN farm_competition AS F ON T.City_ID = F.Host_city_ID GROUP BY T.Status ORDER BY COUNT(*) DESC LIMIT 1,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,What is the status of the city that has hosted the most competitions?,True
40,spider_data/database/farm/farm.sqlite,SELECT fc.Theme FROM farm_competition AS fc JOIN city AS c ON fc.Host_city_ID = c.City_ID WHERE c.Population > 1000,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,Please show the themes of competitions with host cities having populations larger than 1000.,True
41,spider_data/database/farm/farm.sqlite,SELECT fc.Theme FROM farm_competition AS fc JOIN city AS c ON fc.Host_city_ID = c.City_ID WHERE c.Population > 1000;,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,What are the themes of competitions that have corresponding host cities with more than 1000 residents?,True
42,spider_data/database/farm/farm.sqlite,"SELECT Status, AVG(Population) as Average_Population FROM city GROUP BY Status;","SELECT Status ,  avg(Population) FROM city GROUP BY Status",Please show the different statuses of cities and the average population of cities with each status.,True
43,spider_data/database/farm/farm.sqlite,"SELECT city.Status, AVG(city.Population) AS Average_Population FROM city GROUP BY city.Status;","SELECT Status ,  avg(Population) FROM city GROUP BY Status",What are the statuses and average populations of each city?,True
44,spider_data/database/farm/farm.sqlite,"SELECT Status, COUNT(City_ID) AS Number_of_Cities FROM city GROUP BY Status ORDER BY Number_of_Cities DESC;",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,"Please show the different statuses, ordered by the number of cities that have each.",False
45,spider_data/database/farm/farm.sqlite,"SELECT Status, COUNT(*) AS Frequency FROM city GROUP BY Status ORDER BY Frequency ASC;",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,"Return the different statuses of cities, ascending by frequency.",False
46,spider_data/database/farm/farm.sqlite,"<sql> SELECT Status, COUNT(*) as Status_Count  FROM city  GROUP BY Status  ORDER BY Status_Count DESC  LIMIT 1; </sql>
Execution failed on sql '<sql> SELECT Status, COUNT(*) as Status_Count  FROM city  GROUP BY Status  ORDER BY Status_Count DESC  LIMIT 1; </sql>': near ""<"": syntax error",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,List the most common type of Status across cities.,False
47,spider_data/database/farm/farm.sqlite,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,What is the most common status across all cities?,True
48,spider_data/database/farm/farm.sqlite,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),List the official names of cities that have not held any competition.,True
49,spider_data/database/farm/farm.sqlite,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),What are the official names of cities that have not hosted a farm competition?,True
50,spider_data/database/farm/farm.sqlite,SELECT Status FROM city WHERE Population > 1500 AND Population < 500;,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,Show the status shared by cities with population bigger than 1500 and smaller than 500.,True
51,spider_data/database/farm/farm.sqlite,SELECT Status FROM city WHERE Population > 1500 INTERSECT SELECT Status FROM city WHERE Population < 500;,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,True
52,spider_data/database/farm/farm.sqlite,SELECT Official_Name FROM city WHERE Population > 1500 OR Population < 500,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,Find the official names of cities with population bigger than 1500 or smaller than 500.,True
53,spider_data/database/farm/farm.sqlite,"SELECT Official_Name FROM city WHERE Population > 1500 OR Population < 500; ```
Execution failed on sql 'SELECT Official_Name FROM city WHERE Population > 1500 OR Population < 500; ```': You can only execute one statement at a time.",SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,What are the official names of cities that have population over 1500 or less than 500?,False
54,spider_data/database/farm/farm.sqlite,SELECT Census_Ranking FROM city WHERE Status != 'Village',"SELECT Census_Ranking FROM city WHERE Status !=  ""Village""","Show the census ranking of cities whose status are not ""Village"".",True
55,spider_data/database/farm/farm.sqlite,"SELECT Census_Ranking FROM city WHERE Status != 'Village'; ```
Execution failed on sql 'SELECT Census_Ranking FROM city WHERE Status != 'Village'; ```': You can only execute one statement at a time.","SELECT Census_Ranking FROM city WHERE Status !=  ""Village""","What are the census rankings of cities that do not have the status ""Village""?",False
56,spider_data/database/student_assessment/student_assessment.sqlite,"SELECT course_id, course_name  FROM Courses  WHERE course_id = (SELECT course_id                     FROM Student_Course_Registrations                     GROUP BY course_id                     ORDER BY COUNT(*) DESC                     LIMIT 1)",SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,which course has most number of registered students?,False
57,spider_data/database/student_assessment/student_assessment.sqlite,"SELECT course_name  FROM Courses  WHERE course_id = (     SELECT course_id      FROM Student_Course_Registrations      GROUP BY course_id      ORDER BY COUNT(student_id) DESC      LIMIT 1 ); ```
Execution failed on sql 'SELECT course_name  FROM Courses  WHERE course_id = (     SELECT course_id      FROM Student_Course_Registrations      GROUP BY course_id      ORDER BY COUNT(student_id) DESC      LIMIT 1 ); ```': You can only execute one statement at a time.",SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,What is the name of the course with the most registered students?,False
58,spider_data/database/student_assessment/student_assessment.sqlite,SELECT student_id FROM Student_Course_Registrations GROUP BY student_id ORDER BY COUNT(course_id) ASC LIMIT 1;,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,what is id of students who registered some courses but the least number of courses in these students?,True
