,db_path,generated_sql,gold_sql,question,isCorrect
0,spider_data/database/department_management/department_management.sqlite,"SELECT COUNT(*) 
FROM management m
JOIN head h ON m.head_ID = h.head_ID
WHERE h.age > 56;",SELECT count(*) FROM head WHERE age  >  56,How many heads of the departments are older than 56 ?,False
1,spider_data/database/department_management/department_management.sqlite,"SELECT h.name, h.born_state, h.age
FROM head h
JOIN management m ON h.head_ID = m.head_ID
ORDER BY h.age;","SELECT name ,  born_state ,  age FROM head ORDER BY age","List the name, born state and age of the heads of departments ordered by age.",False
2,spider_data/database/department_management/department_management.sqlite,"SELECT department.Creation, department.Name, department.Budget_in_Billions
FROM department;","SELECT creation ,  name ,  budget_in_billions FROM department","List the creation year, name and budget of each department.",True
3,spider_data/database/department_management/department_management.sqlite,"SELECT MAX(Budget_in_Billions) AS Max_Budget, MIN(Budget_in_Billions) AS Min_Budget FROM department;","SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department",What are the maximum and minimum budget of the departments?,False
4,spider_data/database/department_management/department_management.sqlite,SELECT AVG(Num_Employees) FROM department WHERE Ranking BETWEEN 10 AND 15;,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,What is the average number of employees of the departments whose rank is between 10 and 15?,False
5,spider_data/database/department_management/department_management.sqlite,SELECT name FROM head WHERE born_state != 'California';,SELECT name FROM head WHERE born_state != 'California',What are the names of the heads who are born outside the California state?,True
6,spider_data/database/department_management/department_management.sqlite,"SELECT DISTINCT d.Creation
FROM department d
JOIN management m ON d.Department_ID = m.department_ID
JOIN head h ON m.head_ID = h.head_ID
WHERE h.born_state = 'Alabama';",SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,True
7,spider_data/database/department_management/department_management.sqlite,"SELECT d.Name
FROM department d
JOIN management m ON d.Department_ID = m.department_ID
JOIN head h ON m.head_ID = h.head_ID
GROUP BY d.Name
HAVING COUNT(h.head_ID) >= 3;",SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,What are the names of the states where at least 3 heads were born?,False
8,spider_data/database/department_management/department_management.sqlite,"To find the year in which most departments were established, you can use the following SQL query:


SELECT Creation AS Year, COUNT(*) AS NumberOfDepartments
FROM department
GROUP BY Creation
ORDER BY NumberOfDepartments DESC
LIMIT 1;


This query groups the departments by their creation year, counts the number of departments in each year, orders the results in descending order based on the count, and limits the output to the top result, which will be the year with the most departments established.
Execution failed on sql 'To find the year in which most departments were established, you can use the following SQL query:


SELECT Creation AS Year, COUNT(*) AS NumberOfDepartments
FROM department
GROUP BY Creation
ORDER BY NumberOfDepartments DESC
LIMIT 1;


This query groups the departments by their creation year, counts the number of departments in each year, orders the results in descending order based on the count, and limits the output to the top result, which will be the year with the most departments established.': near ""To"": syntax error",SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,In which year were most departments established?,False
9,spider_data/database/department_management/department_management.sqlite,"SELECT d.Name, COUNT(e.employee_ID) AS Number_of_Employees
FROM department d
JOIN management m ON d.Department_ID = m.department_ID
JOIN head h ON m.head_ID = h.head_ID
LEFT JOIN employee e ON d.Department_ID = e.department_ID
WHERE h.temporary_acting = 'Yes'
GROUP BY d.Name;
Execution failed on sql 'SELECT d.Name, COUNT(e.employee_ID) AS Number_of_Employees
FROM department d
JOIN management m ON d.Department_ID = m.department_ID
JOIN head h ON m.head_ID = h.head_ID
LEFT JOIN employee e ON d.Department_ID = e.department_ID
WHERE h.temporary_acting = 'Yes'
GROUP BY d.Name;': no such table: employee","SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'",Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,False
